L,gm/Id,Ai
4.5e-07,2.85284,39.1894
4.5e-07,2.85791,39.2691
4.5e-07,2.863,39.3489
4.5e-07,2.86811,39.429
4.5e-07,2.87323,39.5092
4.5e-07,2.87837,39.5897
4.5e-07,2.88352,39.6703
4.5e-07,2.88869,39.7511
4.5e-07,2.89387,39.8322
4.5e-07,2.89907,39.9134
4.5e-07,2.90428,39.9948
4.5e-07,2.90951,40.0764
4.5e-07,2.91476,40.1582
4.5e-07,2.92002,40.2403
4.5e-07,2.9253,40.3225
4.5e-07,2.9306,40.4049
4.5e-07,2.93591,40.4875
4.5e-07,2.94123,40.5704
4.5e-07,2.94658,40.6534
4.5e-07,2.95194,40.7366
4.5e-07,2.95732,40.82
4.5e-07,2.96271,40.9037
4.5e-07,2.96812,40.9875
4.5e-07,2.97355,41.0716
4.5e-07,2.97899,41.1558
4.5e-07,2.98445,41.2403
4.5e-07,2.98993,41.325
4.5e-07,2.99543,41.4099
4.5e-07,3.00094,41.495
4.5e-07,3.00647,41.5803
4.5e-07,3.01202,41.6658
4.5e-07,3.01758,41.7515
4.5e-07,3.02317,41.8375
4.5e-07,3.02877,41.9236
4.5e-07,3.03439,42.01
4.5e-07,3.04002,42.0966
4.5e-07,3.04568,42.1834
4.5e-07,3.05135,42.2704
4.5e-07,3.05704,42.3576
4.5e-07,3.06275,42.445
4.5e-07,3.06847,42.5327
4.5e-07,3.07422,42.6206
4.5e-07,3.07998,42.7087
4.5e-07,3.08576,42.797
4.5e-07,3.09156,42.8856
4.5e-07,3.09738,42.9743
4.5e-07,3.10322,43.0633
4.5e-07,3.10908,43.1525
4.5e-07,3.11495,43.242
4.5e-07,3.12085,43.3316
4.5e-07,3.12676,43.4215
4.5e-07,3.1327,43.5116
4.5e-07,3.13865,43.602
4.5e-07,3.14462,43.6925
4.5e-07,3.15061,43.7833
4.5e-07,3.15663,43.8743
4.5e-07,3.16266,43.9656
4.5e-07,3.16871,44.0571
4.5e-07,3.17478,44.1488
4.5e-07,3.18087,44.2407
4.5e-07,3.18698,44.3329
4.5e-07,3.19312,44.4253
4.5e-07,3.19927,44.518
4.5e-07,3.20544,44.6109
4.5e-07,3.21163,44.704
4.5e-07,3.21785,44.7973
4.5e-07,3.22408,44.8909
4.5e-07,3.23034,44.9848
4.5e-07,3.23662,45.0788
4.5e-07,3.24291,45.1731
4.5e-07,3.24923,45.2677
4.5e-07,3.25557,45.3625
4.5e-07,3.26194,45.4575
4.5e-07,3.26832,45.5528
4.5e-07,3.27472,45.6483
4.5e-07,3.28115,45.7441
4.5e-07,3.2876,45.8401
4.5e-07,3.29407,45.9364
4.5e-07,3.30057,46.0329
